name,link,price,price_currency,mileage,fuel_type,year,gearbox,horsepower,location,image_url,engine_capacity
Fiat 500 1.3 16V Multijet Start&Stopp Collezione,https://www.otomoto.pl/osobowe/oferta/fiat-500-stan-bdb-ID6GD9vg.html,16 900,PLN,173 000 km,Diesel,2012 ,Manualna,95,Ostrów Wielkopolski (Wielkopolskie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InJ3MnM2NWV1OTllejItT1RPTU9UT1BMIn0.Fn4sL31aEMxfZIBmKPUKngjtuBGF7-lliquVV-PKbUg/image;s=320x240,1 248 cm3
Honda CR-V 2.0 Executive,https://www.otomoto.pl/osobowe/oferta/honda-cr-v-piekna-honda-cr-v-executive-polski-salon-bezwypadkowa-ID6GD9tn.html,80 000,PLN,126 494 km,Benzyna,2014 ,Automatyczna,155,Grodzisk Mazowiecki (Mazowieckie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImtmYW51bXUwdjUzcTItT1RPTU9UT1BMIn0.s3soJaQV6xYMIwiUHISCxd5OR8Tbuy0eQPjHKsVD44Y/image;s=320x240,1 997 cm3
BMW Seria 5 520d,https://www.otomoto.pl/osobowe/oferta/bmw-seria-5-bmw-520-d-ID6GD9q4.html,36 000,PLN,231 000 km,Diesel,2011 ,Manualna,163,Andrzejewo (Mazowieckie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjFsZ2p3NWEycnE4MzEtT1RPTU9UT1BMIn0.AtwfqJYzY53mTP4xqRQYFn2o4tJudmDYF8f-L04PV90/image;s=320x240,1 995 cm3
Mercedes-Benz SL 500,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-sl-mercedes-sl500-r129-306km-ID6GD9pY.html,67 900,PLN,116 305 km,Benzyna,2000 ,Automatyczna,306,Rokietnica (Wielkopolskie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImI0MmR6NmRkNGl1bDEtT1RPTU9UT1BMIn0.J8S6K4ZgmIYujkjwVWSITk5cZ8TSHdc1p9Pmf9VPTRo/image;s=320x240,4 966 cm3
Dacia Duster 1.0 TCe Comfort,https://www.otomoto.pl/osobowe/oferta/dacia-duster-dacia-duster-ii-comfort-poliftowa-1-0-lpg-ID6GD9uN.html,65 000,PLN,55 000 km,Benzyna+LPG,2021 ,Manualna,100,Węgorzewo (Warmińsko-mazurskie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjlyN29pazEwanU2NS1PVE9NT1RPUEwifQ.DFJZTnYN-afzoRtao73ab_oPIB_PbaMNCaNPj5qwpzE/image;s=320x240,999 cm3
Audi S5 3.0 TFSI Quattro S tronic,https://www.otomoto.pl/osobowe/oferta/audi-s5-audi-s5-8t-quattro-s-tronic-ID6GD9uD.html,105 000,PLN,160 000 km,Benzyna,2012 ,Automatyczna,333,Marcinkowo (Kujawsko-pomorskie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImFuMG5zeW1vOGo4eC1PVE9NT1RPUEwifQ.rwECgnbXHED0CBUnl-cpwreuMEwf2b6OKeOkaDXcB8c/image;s=320x240,2 995 cm3
Hyundai ix20,https://www.otomoto.pl/osobowe/oferta/hyundai-ix20-2012-1-6-crdi-116km-6-biegow-klimatronic-czujniki-parkowania-tempomat-ID6GD9q2.html,29 800,PLN,130 487 km,Diesel,2012 ,Manualna,116,Wijewo (Wielkopolskie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Iml3YTRidXA0M3B3MS1PVE9NT1RPUEwifQ.3R4lzQrXZ2xwAKBLEtFxOuio_a9qPMFW8h3MpjFsP9M/image;s=320x240,1 582 cm3
Opel Insignia 2.0 CDTI Sports Tourer Design Edition,https://www.otomoto.pl/osobowe/oferta/opel-insignia-climatronic-podgrzew-fotele-bt-tryby-jazdy-tempomat-wielof-kierow-ID6GD9p9.html,18 000,PLN,290 000 km,Diesel,2010 ,Manualna,160,Zakrzewo (Kujawsko-pomorskie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImR4cXZveXJoY2hqeTItT1RPTU9UT1BMIn0.lGP8ag4MVJLXFySOYXfv5d0eDjn0TVVGCpO9JyBC0gk/image;s=320x240,1 956 cm3
Mercedes-Benz GLC,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-glc-pakiet-keyless-go-zimowy-digital-light-kamera-cofania-mbux-ID6GBEpH.html,283 000,PLN,1 km,Benzyna,2024 ,Automatyczna,204,Chorzów (Śląskie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InVkcnE3czhubGQ4YjItT1RPTU9UT1BMIn0.FQFm9trP08Y197wIiqtCuTqax46ow53RwCaL6SWmJdc/image;s=644x461,1 999 cm3
Audi A4 2.0 TDI Prime Line,https://www.otomoto.pl/osobowe/oferta/audi-a4-lift-2-0tdi-143kmledxenonkompnavitempalubezwypadkowyoplaty-ID6Gywwq.html,37 500,PLN,246 213 km,Diesel,2012 ,Manualna,143,Smug (Pomorskie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InM5ZWZvNTUwdWUzai1PVE9NT1RPUEwifQ.FF6F8AWbsvYEVbHbMm-w5Aq57xPoiW16qrMt1rZ-ERg/image;s=320x240,1 968 cm3
